종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","2755","2610","-145","-5.26","19024966","52794480025"
"095570","AJ네트웍스","4275","4345","70","1.64","1932938","8152577275"
"006840","AK홀딩스","19080","19000","-80","-0.42","312331","6224084870"
"054620","APS","9040","8690","-350","-3.87","1344457","11503442980"
"265520","AP시스템","20350","19270","-1080","-5.31","1551176","31230424420"
"211270","AP위성","12600","12060","-540","-4.29","2581440","31182448890"
"027410","BGF","3715","3645","-70","-1.88","2348405","8454371215"
"282330","BGF리테일","166600","165300","-1300","-0.78","863236","145188929758"
"126600","BGF에코머티리얼즈","5750","5200","-550","-9.57","2446105","13070140720"
"138930","BNK금융지주","6730","6730","0","0.00","21560580","144257157800"
"001460","BYC","395000","427500","32500","8.23","3905","1622151500"
"001465","BYC우","145000","142300","-2700","-1.86","5374","736600100"
"013720","CBI","2510","1444","-1066","-42.47","6632780","12153337575"
"083790","CG인바이츠","4045","3760","-285","-7.05","5881922","22842725150"
"001040","CJ","62100","70000","7900","12.72","3983495","255653340000"
"079160","CJ CGV","6177","8820","2643","42.79","18200073","189042073960"
"035760","CJ ENM","62400","64700","2300","3.69","2044303","133610774000"
"311690","CJ 바이오사이언스","20650","20300","-350","-1.69","714571","13790384770"
"00104K","CJ4우(전환)","54400","58700","4300","7.90","147852","8156362800"
"000120","CJ대한통운","71400","78300","6900","9.66","2633062","198030690200"
"011150","CJ씨푸드","3340","3095","-245","-7.34","3359728","10604611365"
"011155","CJ씨푸드1우","23050","20600","-2450","-10.63","5633","120051760"
"001045","CJ우","42300","43800","1500","3.55","48321","2094783550"
"097950","CJ제일제당","267500","305000","37500","14.02","1125568","319896425000"
"097955","CJ제일제당 우","130200","136700","6500","4.99","56699","7376120400"
"051500","CJ프레시웨이","28750","26250","-2500","-8.70","775945","20594790150"
"058820","CMG제약","2015","2550","535","26.55","40779848","94619096720"
"023460","CNH","2100","2070","-30","-1.43","189267","392066992"
"056730","CNT85","1412","1382","-30","-2.12","4238980","5897448705"
"000480","CR홀딩스","21900","10280","-11620","-53.06","32274236","473559240950"
"065770","CS","1562","1415","-147","-9.41","835659","1195590501"
"083660","CSA 코스믹","1587","1273","-314","-19.79","4480706","7277211592"
"000590","CS홀딩스","58300","58700","400","0.69","54495","3263608100"
"012030","DB","2145","1952","-193","-9.00","68230993","143912072426"
"404950","DB금융스팩10호","2120","2120","0","0.00","0","0"
"367360","DB금융스팩9호","2125","2125","0","0.00","0","0"
"016610","DB금융투자","4045","4095","50","1.24","777704","3103238045"
"005830","DB손해보험","72000","79400","7400","10.28","5363212","399662075611"
"000990","DB하이텍","60100","55500","-4600","-7.65","12407066","735435225500"
"139130","DGB금융지주","7240","7410","170","2.35","10865180","79060701520"
"060900","DGP","7200","4000","-3200","-44.44","19002530","93831912915"
"025440","DH오토웨어","2860","2600","-260","-9.09","902766","2396854390"
"001530","DI동일","20150","21550","1400","6.95","5693763","134309634010"
"000210","DL","38250","40950","2700","7.06","2037545","78934187000"
"001880","DL건설","13450","11840","-1610","-11.97","338598","4235979990"
"000215","DL우","22800","21950","-850","-3.73","77260","1686711400"
"375500","DL이앤씨","31900","30800","-1100","-3.45","4899362","151254435150"
"37550L","DL이앤씨2우(전환)","23100","21800","-1300","-5.63","78631","1731001250"
"37550K","DL이앤씨우","19440","19160","-280","-1.44","67286","1297358990"
"068790","DMS","6090","5370","-720","-11.82","1854453","10367696995"
"007340","DN오토모티브","94400","89600","-4800","-5.08","795987","76276274200"
"004840","DRB동일","5450","5120","-330","-6.06","602117","3221424055"
"241520","DSC인베스트먼트","3535","3225","-310","-8.77","4988923","17884393415"
"065150","DSEN","337","311","-26","-7.72","6959722","2210564754"
"155660","DSR","5010","4565","-445","-8.88","823488","3845300680"
"069730","DSR제강","4770","4525","-245","-5.14","918178","4135446785"
"180400","DXVX","7400","7410","10","0.14","5785643","41761773170"
"017940","E1","50300","57200","6900","13.72","498815","26901989150"
"245620","EDGC","1679","1694","15","0.89","71012858","127888846493"
"037370","EG","17150","15870","-1280","-7.46","11571137","199286441930"
"278990","EMB","8600","12000","3400","39.53","45526","533319450"
"365550","ESR켄달스퀘어리츠","4000","3885","-115","-2.88","3252015","12708940305"
"050120","ES큐브","4100","3695","-405","-9.88","1104825","4053744370"
"383220","F&F","115600","105300","-10300","-8.91","4652676","495644959600"
"007700","F&F홀딩스","19720","17190","-2530","-12.83","1310929","23819507820"
"214270","FSN","3015","2920","-95","-3.15","38170526","140149159410"
"130500","GH신소재","3325","3200","-125","-3.76","1473207","4740011570"
"114090","GKL","14590","13200","-1390","-9.53","9040296","125702479010"
"900290","GRT","4745","3090","-1655","-34.88","7484702","29927216650"
"078930","GS","35000","38800","3800","10.86","4232848","159797686150"
"083450","GST","28850","27050","-1800","-6.24","3301775","96094714450"
"006360","GS건설","14520","14020","-500","-3.44","39527623","562798491180"
"001250","GS글로벌","2745","2610","-135","-4.92","19595133","52563050270"
"007070","GS리테일","22100","23950","1850","8.37","9306007","204670212750"
"078935","GS우","33300","34250","950","2.85","56785","1907215550"
"297890","HB솔루션","4755","5080","325","6.83","65179029","363199674030"
"078150","HB테크놀러지","2560","2560","0","0.00","55952303","146167085510"
"012630","HDC","6290","5910","-380","-6.04","1349886","7921864830"
"039570","HDC랩스","8140","7840","-300","-3.69","291647","2259387560"
"089470","HDC현대EP","4525","4140","-385","-8.51","1724985","7147702850"
"294870","HDC현대산업개발","10740","10170","-570","-5.31","5289844","55171463450"
"009540","HD한국조선해양","120300","122300","2000","1.66","8433618","1048159127546"
"267250","HD현대","58500","62500","4000","6.84","3993009","242395608800"
